Citation,Scientific_Name,Host_Species,Host_Family,Host_Family_Simplified,Host_Order,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Isolate_Lineage,Virus_Lineage,Virus_Dose,Dose_Method,Host_Isolate_Date,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer,Titer_SD,Titer_SE,Survival,Alive,Potential_Error,Variance
Komar et al. 2003,Pica_hudsonia,Black-billed magpie,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,3,8.8,0.175,0.101036297,1,3,N,Y
Komar et al. 2003,Pica_hudsonia,Black-billed magpie,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,4,4.9,0.05,0.028867513,1,3,N,Y
Komar et al. 2003,Pica_hudsonia,Black-billed magpie,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,5,4,0.025,0.014433757,1,3,N,Y
Komar et al. 2003,Pica_hudsonia,Black-billed magpie,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,0,6,0,,,0,0,N,Y
Komar et al. 2003,Pica_hudsonia,Black-billed magpie,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,0,7,,,,0,0,N,Y
Komar et al. 2003,Pica_hudsonia,Black-billed magpie,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,0,8,,,,,0,N,Y
Komar et al. 2003,Cyanocitta_cristata,Blue jay,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,4,4,1,8.5,0.8,0.4,1,4,N,Y
Komar et al. 2003,Cyanocitta_cristata,Blue jay,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,4,4,2,11.1,0.95,0.475,1,4,N,Y
Komar et al. 2003,Cyanocitta_cristata,Blue jay,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,4,4,3,12.1,1.275,0.6375,1,4,N,Y
Komar et al. 2003,Cyanocitta_cristata,Blue jay,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,4,3,4,10.5,1.5,0.9,0.75,3,N,Y
Komar et al. 2003,Cyanocitta_cristata,Blue jay,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,4,1,5,2.2,1.13125,0.594631351,0.25,1,N,Y
Komar et al. 2003,Cyanocitta_cristata,Blue jay,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,4,1,6,0.85,,,0.25,1,N,Y
Komar et al. 2003,Cyanocitta_cristata,Blue jay,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,4,1,7,0.85,,,0.25,1,N,Y
Komar et al. 2003,Cyanocitta_cristata,Blue jay,Corvidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,4,0,8,,,,,0,N,Y
Reisen and Hahn 2007,Euphagus_cyanocephalus,BrewerŠ—Ès blackbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,7,7,1,5.356,,,1,7,N,N
Reisen and Hahn 2007,Euphagus_cyanocephalus,BrewerŠ—Ès blackbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,7,7,2,6.364,,,1,7,N,N
Reisen and Hahn 2007,Euphagus_cyanocephalus,BrewerŠ—Ès blackbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,7,7,3,4.35,,,1,7,N,N
Reisen and Hahn 2007,Euphagus_cyanocephalus,BrewerŠ—Ès blackbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,7,7,4,3.065,,,1,7,N,N
Reisen and Hahn 2007,Euphagus_cyanocephalus,BrewerŠ—Ès blackbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,7,7,5,1.394,,,1,7,N,N
Reisen and Hahn 2007,Euphagus_cyanocephalus,BrewerŠ—Ès blackbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,7,7,6,0.85,,,1,7,N,N
Reisen and Hahn 2007,Euphagus_cyanocephalus,BrewerŠ—Ès blackbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,7,7,7,0.85,,,1,7,N,N
Reisen and Hahn 2007,Euphagus_cyanocephalus,BrewerŠ—Ès blackbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,7,7,8,,,,1,7,N,N
Reisen and Hahn 2007,Molothrus_ater,Brown-headed cowbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,9,9,1,3.53,6.657,2.219,1,9,N,Y
Reisen and Hahn 2007,Molothrus_ater,Brown-headed cowbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,9,9,2,2.984,5.778,1.926,1,9,N,Y
Reisen and Hahn 2007,Molothrus_ater,Brown-headed cowbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,9,9,3,1.659,4.365,1.455,1,9,N,Y
Reisen and Hahn 2007,Molothrus_ater,Brown-headed cowbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,9,9,4,1.356,4.32,1.44,1,9,N,Y
Reisen and Hahn 2007,Molothrus_ater,Brown-headed cowbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,9,9,5,0.783,4.53,1.51,1,9,N,Y
Reisen and Hahn 2007,Molothrus_ater,Brown-headed cowbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,9,9,6,0.791,5.049,1.683,1,9,N,Y
Reisen and Hahn 2007,Molothrus_ater,Brown-headed cowbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,9,9,7,0.8,0,0,1,9,N,Y
Reisen and Hahn 2007,Molothrus_ater,Brown-headed cowbird,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,1000,needle,2004,California,9,9,8,,,,1,9,N,N
Komar et al. 2003,Melopsittacus_undulatus,Budgerigar,Psittacidae,Other,Psittaciformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,1,2.3,0.7,0.404145188,1,3,N,Y
Komar et al. 2003,Melopsittacus_undulatus,Budgerigar,Psittacidae,Other,Psittaciformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,2,1.9,0.6,0.346410162,1,3,N,Y
Komar et al. 2003,Melopsittacus_undulatus,Budgerigar,Psittacidae,Other,Psittaciformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,3,2.8,0.825,0.476313972,1,3,N,Y
Komar et al. 2003,Melopsittacus_undulatus,Budgerigar,Psittacidae,Other,Psittaciformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,4,2.9,0.85,0.490747729,1,3,N,Y
Komar et al. 2003,Melopsittacus_undulatus,Budgerigar,Psittacidae,Other,Psittaciformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,5,2.1,0.65,0.375277675,1,3,N,Y
Komar et al. 2003,Melopsittacus_undulatus,Budgerigar,Psittacidae,Other,Psittaciformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,6,0.85,0,0,1,3,N,Y
Komar et al. 2003,Melopsittacus_undulatus,Budgerigar,Psittacidae,Other,Psittaciformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,7,0.85,0,0,1,3,N,Y
Komar et al. 2003,Melopsittacus_undulatus,Budgerigar,Psittacidae,Other,Psittaciformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,8,,,,1,3,N,Y
Reisen et al. 2005,Callipepla_californica,California quail ,Odontophpridae,Other,Galliformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,4,4,1,3.286,,,1,4,Y,N
Reisen et al. 2005,Callipepla_californica,California quail ,Odontophpridae,Other,Galliformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,4,4,2,3.366,,,1,4,Y,N
Reisen et al. 2005,Callipepla_californica,California quail ,Odontophpridae,Other,Galliformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,4,4,3,2.774,,,1,4,Y,N
Reisen et al. 2005,Callipepla_californica,California quail ,Odontophpridae,Other,Galliformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,4,4,4,2.035,,,1,4,Y,N
Reisen et al. 2005,Callipepla_californica,California quail ,Odontophpridae,Other,Galliformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,4,4,5,1.997,,,1,4,Y,N
Reisen et al. 2005,Callipepla_californica,California quail ,Odontophpridae,Other,Galliformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,4,4,6,,,,1,4,Y,N
Reisen et al. 2005,Callipepla_californica,California quail ,Odontophpridae,Other,Galliformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,4,4,7,,,,1,4,Y,N
Reisen et al. 2005,Callipepla_californica,California quail ,Odontophpridae,Other,Galliformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,4,4,8,,,,1,4,Y,N
Komar et al. 2003,Branta_canadensis,Canada goose,Anatidae,Other,Anseriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,1,2.8,0.75,0.433012702,1,3,N,Y
Komar et al. 2003,Branta_canadensis,Canada goose,Anatidae,Other,Anseriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,2,5.3,0.65,0.375277675,1,3,N,Y
Komar et al. 2003,Branta_canadensis,Canada goose,Anatidae,Other,Anseriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,3,4.5,0.325,0.187638837,1,3,N,Y
Komar et al. 2003,Branta_canadensis,Canada goose,Anatidae,Other,Anseriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,4,3.4,0.95,0.548482756,1,3,N,Y
Komar et al. 2003,Branta_canadensis,Canada goose,Anatidae,Other,Anseriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,5,1.9,0.5,0.288675135,1,3,N,Y
Komar et al. 2003,Branta_canadensis,Canada goose,Anatidae,Other,Anseriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,6,0.85,0,0,1,3,N,Y
Komar et al. 2003,Branta_canadensis,Canada goose,Anatidae,Other,Anseriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,7,0.85,0,0,1,3,N,Y
Komar et al. 2003,Branta_canadensis,Canada goose,Anatidae,Other,Anseriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,3,3,8,,,,1,3,N,Y
Kilpatrick et al. 2013,Thryothorus_ludovicianus,Carolina wren,Troglodytidae,Other,Passeriformes,WN02,2003,California,1a2,C,10000,needle,2009,Maryland,11,11,1,4.157,1.27,0.382919408,1,11,N,N
Kilpatrick et al. 2013,Thryothorus_ludovicianus,Carolina wren,Troglodytidae,Other,Passeriformes,WN02,2003,California,1a2,C,10000,needle,2009,Maryland,11,11,2,7.355,0.916,0.276184392,1,11,N,N
Kilpatrick et al. 2013,Thryothorus_ludovicianus,Carolina wren,Troglodytidae,Other,Passeriformes,WN02,2003,California,1a2,C,10000,needle,2009,Maryland,11,11,3,9.006,0.828,0.249651393,1,11,N,N
Kilpatrick et al. 2013,Thryothorus_ludovicianus,Carolina wren,Troglodytidae,Other,Passeriformes,WN02,2003,California,1a2,C,10000,needle,2009,Maryland,11,11,4,10.307,0.226,0.068141564,1,11,N,N
Kilpatrick et al. 2013,Thryothorus_ludovicianus,Carolina wren,Troglodytidae,Other,Passeriformes,WN02,2003,California,1a2,C,10000,needle,2009,Maryland,11,10,5,9.981,0.61,0.192898937,0.909090909,10,N,N
Kilpatrick et al. 2013,Thryothorus_ludovicianus,Carolina wren,Troglodytidae,Other,Passeriformes,WN02,2003,California,1a2,C,10000,needle,2009,Maryland,11,8,6,9.787,0.882,0.311834091,0.727272727,8,N,N
Kilpatrick et al. 2013,Thryothorus_ludovicianus,Carolina wren,Troglodytidae,Other,Passeriformes,WN02,2003,California,1a2,C,10000,needle,2009,Maryland,11,8,7,,,,,8,N,N
Kilpatrick et al. 2013,Thryothorus_ludovicianus,Carolina wren,Troglodytidae,Other,Passeriformes,WN02,2003,California,1a2,C,10000,needle,2009,Maryland,11,0,8,,,,,0,N,N
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tabasco,2003,Southern Mexico,1a1,B,100000,needle,2009,Mexico,4,4,1,0,0,0,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tabasco,2003,Southern Mexico,1a1,B,100000,needle,2009,Mexico,4,4,2,4.279,1.1465,0.57325,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tabasco,2003,Southern Mexico,1a1,B,100000,needle,2009,Mexico,4,4,3,4.241,0.59175,0.295875,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tabasco,2003,Southern Mexico,1a1,B,100000,needle,2009,Mexico,4,4,4,2.395,0.74425,0.372125,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tabasco,2003,Southern Mexico,1a1,B,100000,needle,2009,Mexico,4,4,5,0.85,0,0,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tabasco,2003,Southern Mexico,1a1,B,100000,needle,2009,Mexico,4,4,6,0.85,0,0,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tabasco,2003,Southern Mexico,1a1,B,100000,needle,2009,Mexico,4,4,7,0.85,,,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tabasco,2003,Southern Mexico,1a1,B,100000,needle,2009,Mexico,4,4,8,,,,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tecate,2004,Northern Mexico,1a2,C,100000,needle,2009,Mexico,4,4,1,0,0,0,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tecate,2004,Northern Mexico,1a2,C,100000,needle,2009,Mexico,4,4,2,3.497,0.92775,0.463875,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tecate,2004,Northern Mexico,1a2,C,100000,needle,2009,Mexico,4,4,3,4.774,0.428,0.214,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tecate,2004,Northern Mexico,1a2,C,100000,needle,2009,Mexico,4,4,4,5.045,0.96525,0.482625,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tecate,2004,Northern Mexico,1a2,C,100000,needle,2009,Mexico,4,4,5,5.267,1.48425,0.742125,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tecate,2004,Northern Mexico,1a2,C,100000,needle,2009,Mexico,4,4,6,6.289,1.744,0.872,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tecate,2004,Northern Mexico,1a2,C,100000,needle,2009,Mexico,4,4,7,0.85,,,1,4,Y,Y
Guerrero-Sanchez et al. 2011,Turdus_grayi,Clay-colored thrush,Turdidae,Other,Passeriformes,Tecate,2004,Northern Mexico,1a2,C,100000,needle,2009,Mexico,4,4,8,,,,1,4,Y,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10,needle,2004,Colorado,10,10,1,1.494,2.23618206,0.707142857,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10,needle,2004,Colorado,10,10,2,5.901,9.57234355,3.027040816,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10,needle,2004,Colorado,10,10,3,6.522,10.37420681,3.280612245,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10,needle,2004,Colorado,10,10,4,4.75,8.025086266,2.537755102,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10,needle,2004,Colorado,10,10,5,3.014,5.280681011,1.669897959,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10,needle,2004,Colorado,10,10,6,0.85,,,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10,needle,2004,Colorado,10,10,7,0.85,,,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,10,needle,2004,Colorado,10,10,8,,,,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,31.6227766,needle,2004,Colorado,8,8,1,3.32,5.010356621,1.771428571,1,8,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,31.6227766,needle,2004,Colorado,8,8,2,5.397,7.583359459,2.681122449,1,8,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,31.6227766,needle,2004,Colorado,8,8,3,6.447,8.899443918,3.146428571,1,8,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,31.6227766,needle,2004,Colorado,8,8,4,6.323,9.519966195,3.365816327,1,8,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,31.6227766,needle,2004,Colorado,8,8,5,3.035,4.687107807,1.657142857,1,8,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,31.6227766,needle,2004,Colorado,8,8,6,4.195,6.531357738,2.309183673,1,8,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,31.6227766,needle,2004,Colorado,8,8,7,,,,1,8,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,31.6227766,needle,2004,Colorado,8,8,8,3.412,5.356694636,1.893877551,1,8,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,316.227766,needle,2004,Colorado,10,10,1,3.154,5.149995047,1.628571429,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,316.227766,needle,2004,Colorado,10,10,2,5.547,8.678516089,2.744387755,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,316.227766,needle,2004,Colorado,10,10,3,5.78,9.399709004,2.97244898,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,316.227766,needle,2004,Colorado,10,10,4,4.709,7.904080743,2.499489796,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,316.227766,needle,2004,Colorado,10,10,5,4.804,8.262257091,2.612755102,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,316.227766,needle,2004,Colorado,10,10,6,0.85,,,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,316.227766,needle,2004,Colorado,10,10,7,0.85,,,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,316.227766,needle,2004,Colorado,10,10,8,,,,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,3162.27766,needle,2004,Colorado,10,10,1,3.895,6.581087028,2.081122449,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,3162.27766,needle,2004,Colorado,10,10,2,5.812,9.225461051,2.917346939,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,3162.27766,needle,2004,Colorado,10,10,3,5.906,9.623972573,3.043367347,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,3162.27766,needle,2004,Colorado,10,10,4,2.527,4.248100551,1.343367347,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,3162.27766,needle,2004,Colorado,10,10,5,2.493,4.499792038,1.422959184,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,3162.27766,needle,2004,Colorado,10,10,6,0.85,,,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,3162.27766,needle,2004,Colorado,10,10,7,0.85,,,1,10,N,Y
Oesterle et al. 2009,Petrochelidon_pyrrhonota,Cliff swallow,Hirundinidae,Other,Passeriformes,NY99,1999,New York,1a1,B,3162.27766,needle,2004,Colorado,10,10,8,,,,1,10,N,Y
Komar et al. 2003,Quiscalus_quiscula,Common grackle,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,6,6,1,6.1,0.875,0.357217254,1,6,N,Y
Komar et al. 2003,Quiscalus_quiscula,Common grackle,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,6,6,2,10.2,1.4,0.571547607,1,6,N,Y
Komar et al. 2003,Quiscalus_quiscula,Common grackle,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,6,6,3,11.8,1.95,0.796084166,1,6,N,Y
Komar et al. 2003,Quiscalus_quiscula,Common grackle,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,6,5,4,11.8,3.125,1.397542486,0.833333333,5,N,Y
Komar et al. 2003,Quiscalus_quiscula,Common grackle,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,6,4,5,0.85,0,0,0.666666667,4,N,Y
Komar et al. 2003,Quiscalus_quiscula,Common grackle,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,6,4,6,0.85,0,0,0.666666667,4,N,Y
Komar et al. 2003,Quiscalus_quiscula,Common grackle,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,6,4,7,0.85,0,0,0.666666667,4,N,Y
Komar et al. 2003,Quiscalus_quiscula,Common grackle,Icteridae,Other,Passeriformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,6,0,8,,,,,0,N,Y
Reisen et al. 2005,Columbina_passerina,Common ground dove,Columbidae,Other,Columbiformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,6,6,1,4.776,,,1,6,Y,N
Reisen et al. 2005,Columbina_passerina,Common ground dove,Columbidae,Other,Columbiformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,6,6,2,5.023,,,1,6,Y,N
Reisen et al. 2005,Columbina_passerina,Common ground dove,Columbidae,Other,Columbiformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,6,6,3,4.788,,,1,6,Y,N
Reisen et al. 2005,Columbina_passerina,Common ground dove,Columbidae,Other,Columbiformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,6,6,4,3.776,,,1,6,Y,N
Reisen et al. 2005,Columbina_passerina,Common ground dove,Columbidae,Other,Columbiformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,6,6,5,2.176,,,1,6,Y,N
Reisen et al. 2005,Columbina_passerina,Common ground dove,Columbidae,Other,Columbiformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,6,6,6,0.85,,,1,6,Y,N
Reisen et al. 2005,Columbina_passerina,Common ground dove,Columbidae,Other,Columbiformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,6,6,7,0.85,,,1,6,Y,N
Reisen et al. 2005,Columbina_passerina,Common ground dove,Columbidae,Other,Columbiformes,NY99AAF,1999,New York,1a1,B,1000,needle,2003,California,6,6,8,,,,1,6,Y,N
Nemeth et al. 2006,Megascops_asio,Eastern screech owl,Strigidae,Other,Strigiformes,NY99,1999,New York,1a1,B,1500,needle,2004,Colorado,9,9,1,2.210934656,2.158009699,0.719336566,1,9,N,Y
Nemeth et al. 2006,Megascops_asio,Eastern screech owl,Strigidae,Other,Strigiformes,NY99,1999,New York,1a1,B,1500,needle,2004,Colorado,9,9,2,5.844444444,1.523205757,0.507735252,1,9,N,Y
Nemeth et al. 2006,Megascops_asio,Eastern screech owl,Strigidae,Other,Strigiformes,NY99,1999,New York,1a1,B,1500,needle,2004,Colorado,9,9,3,6.637888889,1.253676139,0.417892046,1,9,N,Y
Nemeth et al. 2006,Megascops_asio,Eastern screech owl,Strigidae,Other,Strigiformes,NY99,1999,New York,1a1,B,1500,needle,2004,Colorado,9,9,4,6.452555556,1.44026752,0.480089173,1,9,N,Y
Nemeth et al. 2006,Megascops_asio,Eastern screech owl,Strigidae,Other,Strigiformes,NY99,1999,New York,1a1,B,1500,needle,2004,Colorado,9,9,5,5.24,2.570098247,0.856699416,1,9,N,Y
