Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Accipiter brevipes,Accipiter brevipes,Levant Sparrowhawk,M,362,168,20.9,108,268,M,Israel,1351
Accipiter brevipes,Accipiter brevipes,Levant Sparrowhawk,F,263,207,35.7,110,290,,,
Accipiter soloensis,Accipiter soloensis,Chinese Sparrowhawk,M,2,150,,140,159,,Philippines,"138, 436, 437"
Accipiter soloensis,Accipiter soloensis,Chinese Sparrowhawk,F,2,181,,158,204,,,
Accipiter francesii,Accipiter francesii,France's Goshawk,M,13,117,9.3,104,140,,Madagascar,957
Accipiter francesii,Accipiter francesii,France's Goshawk,F,4,160,,112,185,,,
Accipiter trinotatus,Accipiter trinotatus,Spot-tailed Goshawk,U,2,146,,135,158,,"Sulawesi, Indonesia",1272
Accipiter hiogaster dampieri,Accipiter hiogaster,Variable Goshawk,M,3,183,,175,197,,New Britain,427
Accipiter hiogaster dampieri,Accipiter hiogaster,Variable Goshawk,F,2,334,,304,365,,,
Accipiter hiogaster pulchellus,Accipiter hiogaster,Variable Goshawk,F,1,280,,,,,Guadalcanal ,399
Accipiter hiogaster leucosomus,Accipiter hiogaster,Variable Goshawk,M,1,247,,,,,,358
Accipiter hiogaster leucosomus,Accipiter hiogaster,Variable Goshawk,F,1,439,,,,,,
Accipiter novaehollandiae,Accipiter novaehollandiae,Gray Goshawk,M,5,356,,238,422,,Australia ,746
Accipiter novaehollandiae,Accipiter novaehollandiae,Gray Goshawk,F,11,720,103,530,894,,,
Accipiter novaehollandiae,Accipiter novaehollandiae,Gray Goshawk,M,2,180,,172,187,,Solomon Islands,658
Accipiter novaehollandiae,Accipiter novaehollandiae,Gray Goshawk,F,1,245,,,,,,
Accipiter fasciatus fasciatus,Accipiter fasciatus,Brown Goshawk,M,15,359,27.4,320,425,F,"Victoria, Australia",746
Accipiter fasciatus fasciatus,Accipiter fasciatus,Brown Goshawk,F,30,592,44.4,535,700,,,
Accipiter fasciatus didimus,Accipiter fasciatus,Brown Goshawk,M,8,227,,200,268,,northwest Australia,746
Accipiter fasciatus didimus,Accipiter fasciatus,Brown Goshawk,F,8,343,,310,390,,,
Accipiter melanochlamys,Accipiter melanochlamys,Black-mantled Goshawk,B,3,265,,244,294,,,"138, 387, 428"
Accipiter albogularis,Accipiter albogularis,Pied Goshawk,M,3,221,,181,265,,,"138, 399"
Accipiter albogularis,Accipiter albogularis,Pied Goshawk,F,1,280,, , ,,,
Accipiter haplochrous,Accipiter haplochrous,New Caledonian Goshawk,M,3,155,,152,162,,New Caledonia,1017
Accipiter haplochrous,Accipiter haplochrous,New Caledonian Goshawk,F,3,254,,227,268,,,
Accipiter rufitorques,Accipiter rufitorques,Fiji Goshawk,M,1,209,,,,,Fiji,1196c
Accipiter luteoschistaceus,Accipiter luteoschistaceus,Slaty-mantled Goshawk,M,2,214,,205,222,,both immatures,427
