Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Pachycephala simplex,Pachycephala simplex,Gray Whistler,U,34,17.4,1,15,20,,"Queensland, Australia",518
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,U,26,32.7,2.4,28.5,38,,Fiji,668
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,B,44,24.1,1.8,20,27.6,,"Queensland, Australia",390a
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,B,58,26.5,,20,35,,southeast Australia,518
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,M,18,27.8,2,22.7,31,,"Tasmania, Australia",518
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,F,7,30.4,,26.8,37,,,
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,B,52,25.6,,23,30,,southern Australia,518
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,M,4,24.4,,22,26.5,,New Ireland,58
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,F,4,22.2,,20.4,24,,,
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,M,18,51.7,,48,56,,Guadalcanal,399
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,F,8,44.9,,42,47.5,,,
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,M,41,33.6,,28,36,,Solomon Islands,399
Pachycephala pectoralis ,Pachycephala pectoralis,Golden Whistler,F,21,32.2,,28,37.5,,,
Pachycephala soror,Pachycephala soror,Sclater's Whistler,B,18,24.8,,22.5,27.2,,New Guinea,283
Pachycephala lorentzi,Pachycephala lorentzi,Lorentz's Whistler,U,5,19.4,,18,20.3,,New Guinea,424
Pachycephala melanura,Pachycephala melanura,Black-tailed Whistler,B,23,23.8,,20.5,27.5,,northern Australia,518
Pachycephala caledonica,Pachycephala caledonica,New Caledonian Whistler,U,17,20.9,1.3,18,23,,New Caledonia,1018
Pachycephala caledonica,Pachycephala caledonica,New Caledonian Whistler,B,7,24.6,,23.2,26.2,,Vanuatu,656b
Pachycephala schlegelii,Pachycephala schlegelii,Regent Whistler,B,19,22.7,1.8,19.3,25.4,,Papua New Guinea,387
Pachycephala implicata,Pachycephala implicata,Hooded Whistler,M,7,35.7,,33.5,37,,Guadalcanal,399
Pachycephala implicata,Pachycephala implicata,Hooded Whistler,F,13,33.3,,30,39,,,
Pachycephala griseonota,Pachycephala griseonota,Drab Whistler,U,,,,23,26,,"Seram, Moluccas",1181
Pachycephala griseonota,Pachycephala griseonota,Drab Whistler,U,,,,20,21,,"Buru, Moluccas",1182
Pachycephala leucogastra,Pachycephala leucogastra,White-bellied Whistler,U,2,18.5,,17,20,,New Guinea,770
Pachycephala rufiventris,Pachycephala rufiventris,Rufous Whistler,B,29,20.8,,17,23.5,,nw. Australia,518
Pachycephala rufiventris,Pachycephala rufiventris,Rufous Whistler,B,147,24.3,,21,31,,"New South Wales, Australia",518
Pachycephala lanioides,Pachycephala lanioides,White-breasted Whistler,B,62,40.9, ,31,52,,Western Australia,518
Pachycephala lanioides,Pachycephala lanioides,White-breasted Whistler,B,9,36.6,,33,42,,"Northern Terr., Australia",518
Colluricincla megarhyncha,Colluricincla megarhyncha,Rufous Shrike-Thrush,U,81,32,,,,,New Guinea,61
Colluricincla megarhyncha,Colluricincla megarhyncha,Rufous Shrike-Thrush,U,328,32.7,2.4,22,48,,"Queensland, Australia",518
Colluricincla boweri,Colluricincla boweri,Bower's Shrike-Thrush,B,51,43.8,,37,49.6,,"Queensland, Australia",518
Colluricincla woodwardi,Colluricincla woodwardi,Sandstone Shrike-Thrush,B,28,54.5,,46.3,62,,Australia,518
Colluricincla harmonica,Colluricincla harmonica,Gray Shrike-Thrush,B,65,63.2,,47,75,,Australia,518
Colluricincla harmonica,Colluricincla harmonica,Gray Shrike-Thrush,B,18,74.9,,70,84,,"Tasmania, Australia",518
Colluricincla harmonica,Colluricincla harmonica,Gray Shrike-Thrush,B,37,63.9,,56,79,,Australia,518
Colluricincla harmonica,Colluricincla harmonica,Gray Shrike-Thrush,B,31,62,,51,79,,Australia,518
Colluricincla tenebrosa,Colluricincla tenebrosa,Morningbird,U,,46,,,,,New Guinea,229
Pitohui dichrous,Pitohui dichrous,Hooded Pitohui,B,17,92.9,4,85,100,,New Guinea,283
Pitohui ferrugineus,Pitohui ferrugineus,Rusty Pitohui,M,10,98,8,86,110,,New Guinea,283
Pitohui ferrugineus,Pitohui ferrugineus,Rusty Pitohui,F,7,90,,77,99,,,
Pitohui cristatus,Pitohui cristatus,Crested Pitohui,U,3,79,,,,,New Guinea,61
Pitohui kirhocephalus ,Pitohui kirhocephalus,Variable Pitohui,B,20,72, ,67,79,,New Guinea,283
Pitohui nigrescens,Pitohui nigrescens,Black Pitohui,B,8,76.9,,68,86,,New Guinea,"283, 424"
Eulacestoma nigropectus,Eulacestoma nigropectus,Wattled Ploughbill,B,24,20,1.5,17,23.2,,Papua New Guinea,387
Picathartes gymnocephalus,Picathartes gymnocephalus,White-necked Rockfowl,F,2,196,,166,226,,,396
Picathartes oreas,Picathartes oreas,Gray-necked Rockfowl,U,6,220,,202,239,,,396
Garrulax cinereifrons,Garrulax cinereifrons,Ashy-headed Laughingthrush,M,1,70,,,,,Sri Lanka,7
Garrulax perspicillatus,Garrulax perspicillatus,Masked Laughingthrush,M,10,124,,102,142,,China,184a
Garrulax perspicillatus,Garrulax perspicillatus,Masked Laughingthrush,F,10,112,,98,130,,,
Garrulax albogularis,Garrulax albogularis,White-throated Laughingthrush,M,17,,,97,114,, ,7
Garrulax albogularis,Garrulax albogularis,White-throated Laughingthrush,F,7,,,78,105,,,
Garrulax leucolophus,Garrulax leucolophus,White-crested Laughingthrush,M,3,,,123,129,,India,7
Garrulax leucolophus,Garrulax leucolophus,White-crested Laughingthrush,F,5,,,119,123,,,
Garrulax monileger,Garrulax monileger,Lesser Necklaced Laughingthrush,U,5,,,77,91,,India,7
Garrulax pectoralis,Garrulax pectoralis,Greater Necklaced Laughingthrush,M,1,156,,,,, ,7
Garrulax pectoralis,Garrulax pectoralis,Greater Necklaced Laughingthrush,F,2,135,,135,135,,,
Garrulax striatus vibex,Garrulax striatus,Striated Laughingthrush,B,6,,,126,148,,India,7
Garrulax striatus sikkimensis,Garrulax striatus,Striated Laughingthrush,M,1,92,,,,,India ,7
Garrulax striatus sikkimensis,Garrulax striatus,Striated Laughingthrush,F,3,,,99,106,, , 
Garrulax ruficollis,Garrulax ruficollis,Rufous-necked Laughingthrush,B,6,,,60,73,,India,7
Garrulax nuchalis,Garrulax nuchalis,Chestnut-backed Laughingthrush,F,1,78,,,,,Myanmar,1148
Garrulax galbanus,Garrulax galbanus,Yellow-throated Laughingthrush,B,3,56,,55,57,,India,7
Garrulax gularis,Garrulax gularis,Rufous-vented Laughingthrush,M,1,92,,,,,India,7
Garrulax davidi ,Garrulax davidi,Pere David's Laughingthrush,B,45,56.2,,48,63,,"Hopei, China",1087
Garrulax sukatschewi,Garrulax sukatschewi,Sukatschev's Laughingthrush,F,1,67.8,,,,B,China,1360a
Garrulax cinerascens,Garrulax cinerascens,Moustached Laughingthrush,M,4,,,47,51,,India,7
Garrulax rufogularis,Garrulax rufogularis,Rufous-chinned Laughingthrush,B,7,,,58,68,,India,7
Garrulax ocellatus,Garrulax ocellatus,Spotted Laughingthrush,B,5,114,,110,121,,India,7
Garrulax caerulatus,Garrulax caerulatus,Gray-sided Laughingthrush,M,4,,,82,99,,,7
Garrulax caerulatus,Garrulax caerulatus,Gray-sided Laughingthrush,F,6,,,79,84,,,
Garrulax poecilorhynchus,Garrulax poecilorhynchus,Rusty Laughingthrush,U,,,,70,74,,Taiwan,834
Garrulax mitratus,Garrulax mitratus,Chestnut-capped Laughingthrush,U,17,62,,51,70,,Malaysia,775
Garrulax merulinus,Garrulax merulinus,Spot-breasted Laughingthrush,F,2,78.8,,75,82.5,,India,1148
Garrulax canorus,Garrulax canorus,Hwamei,M,10,58.4,,65,75,,China,184a
Garrulax canorus,Garrulax canorus,Hwamei,F,10,67.5,,53.8,75,,,
Garrulax sannio,Garrulax sannio,White-browed Laughingthrush,B,20,67.8,,53.8,85,,China,184a
Garrulax jerdoni,Garrulax jerdoni,Gray-breasted Laughingthrush,B,12,45.5,2.6,39,49,,India,1148
Garrulax lineatus,Garrulax lineatus,Streaked Laughingthrush,U,25,40.7,,36,46,,India,7
Garrulax virgatus,Garrulax virgatus,Striped Laughingthrush,F,1,48,,,,,Myanmar,1148
Garrulax subunicolor,Garrulax subunicolor,Scaly Laughingthrush,M,3,,,63,69,, ,7
Garrulax austeni,Garrulax austeni,Brown-capped Laughingthrush,M,4,,,63,74,,India,7
Garrulax austeni,Garrulax austeni,Brown-capped Laughingthrush,F,1,59,,,,,,
Garrulax squamatus,Garrulax squamatus,Blue-winged Laughingthrush,F,1,84,,,,, ,7
Garrulax elliotii,Garrulax elliotii,Elliot's Laughingthrush,U,1,45,,,,,China,1148
Garrulax variegatus,Garrulax variegatus,Variegated Laughingthrush,U,10,64.5,,59,72,B,India,7
Garrulax affinis,Garrulax affinis,Black-faced Laughingthrush,B,14,,,66,80,,India,7
Garrulax morrisonianus,Garrulax morrisonianus,White-whiskered Laughingthrush,B,64,73.1,6.9,58,93,,Taiwan,1359
Garrulax erythrocephalus,Garrulax erythrocephalus,Chestnut-crowned Laughingthrush,U,68,71.7,,62,95,,Malaysia,775
Liocichla steerii,Liocichla steerii,Steere's Liocichla,M,22,32.4,1.3, , ,,Taiwan,771a
Liocichla steerii,Liocichla steerii,Steere's Liocichla,F,21,30.4,2.5,,,,,
Liocichla phoenicea,Liocichla phoenicea,Red-faced Liocichla,U,4,49,,45,52,,India,7
Modulatrix stictigula,Modulatrix stictigula,Spot-throat,U,49,30.5,,27,34,, ,623
Arcanator orostruthus,Arcanator orostruthus,Dapple-throat,B,22,32.7,,28.5,38,,,623
Trichastoma celebense,Trichastoma celebense,Sulawesi Babbler,B,76,23.6,1.6,20,29,,"Sulawesi, Indonesia",1272
Trichastoma bicolor,Trichastoma bicolor,Ferruginous Babbler,U,12,27.2,4.7,19.3,34,,Malaysia; Borneo,"398, 785"
Malacocincla abbotti,Malacocincla abbotti,Abbott's Babbler,M,5,,,26,32.5,, ,7
Malacocincla abbotti,Malacocincla abbotti,Abbott's Babbler,F,2,26.8,,26.5,27,,,
Malacocincla sepiaria,Malacocincla sepiaria,Horsfield's Babbler,B,11,25.5,2.2,23,29,,Borneo,398
Malacocincla malaccensis,Malacocincla malaccensis,Short-tailed Babbler,B,20,21.4,2.3,17,26,,Borneo,398
Malacocincla cinereiceps,Malacocincla cinereiceps,Ashy-headed Babbler,U,14,,,22.1,25.9,,"Palawan, Philippines",487
Pellorneum fuscocapillum,Pellorneum fuscocapillum,Brown-capped Babbler,M,1,30,,,,,Sri Lanka,7
Pellorneum tickelli,Pellorneum tickelli,Buff-breasted Babbler,B,3,17.1,,16.2,17.7,,Thailand,787
Pellorneum albiventre,Pellorneum albiventre,Spot-throated Babbler,M,2,21.5,,21,22,,India,7
Pellorneum ruficeps,Pellorneum ruficeps,Puff-throated Babbler,U,15,26,,21,30,,India,7
Pellorneum capistratum,Pellorneum capistratum,Black-capped Babbler,U,10,25.1,1.5,23,27,,Borneo,398
Malacopteron palawanense,Malacopteron palawanense,Palawan Babbler,U,4,,,28.1,36.7,,"Palawan, Philippines",487
Malacopteron magnirostre,Malacopteron magnirostre,Moustached Babbler,M,8,20.8,,19.5,24.9,,Borneo; Malaysia,"785, 1218"
Malacopteron magnirostre,Malacopteron magnirostre,Moustached Babbler,F,4,18,,16.8,19,,,
Malacopteron affine,Malacopteron affine,Sooty-capped Babbler,M,1,15.7,,,,,Malaysia,785
Malacopteron affine,Malacopteron affine,Sooty-capped Babbler,F,1,18.6,,,,,,
Malacopteron cinereum,Malacopteron cinereum,Scaly-crowned Babbler,U,56,18.1,1.7,15,21,,Borneo,398
Malacopteron magnum,Malacopteron magnum,Rufous-crowned Babbler,U,26,27.2,3.2,22,34,,Borneo,398
Malacopteron albogulare,Malacopteron albogulare,Gray-breasted Babbler,U,15,16.5,1.2,14,18,,Borneo,398
Illadopsis cleaveri,Illadopsis cleaveri,Blackcap Illadopsis,U,15,30.8,,28,34,,Congo,396
Illadopsis albipectus,Illadopsis albipectus,Scaly-breasted Illadopsis,U,34,30.6,,23,36,, ,396
Illadopsis rufescens,Illadopsis rufescens,Rufous-winged Illadopsis,U,6,37,,34,41,,Ivory Coast,396
Illadopsis puveli,Illadopsis puveli,Puvel's Illadopsis,B,12,48.4,,41,52.5,,Uganda,396
Illadopsis rufipennis,Illadopsis rufipennis,Pale-breasted Illadopsis,U,21,22.2,,18,27,,Kenya,396
Illadopsis fulvescens,Illadopsis fulvescens,Brown Illadopsis,U,60,27.9, ,20,37,,Uganda,396
Illadopsis pyrrhoptera,Illadopsis pyrrhoptera,Mountain Illadopsis,U,66,24.8,,20,30,,Kenya,396
Illadopsis abyssinica,Illadopsis abyssinica,African Hill Babbler,B,34,18.8,,14,25,,Kenya,396
Kakamega poliothorax,Kakamega poliothorax,Gray-chested Illadopsis,U,49,36.4,1.2,,,,Kenya,396
Ptyrticus turdinus,Ptyrticus turdinus,Thrush Babbler,B,3,65.8,,59,72.5,, ,396
Pomatorhinus hypoleucos,Pomatorhinus hypoleucos,Large Scimitar-Babbler,U,6,75.6,,69,82,,Malaysia,"775, 785"
Pomatorhinus erythrocnemis,Pomatorhinus erythrocnemis,Spot-breasted Scimitar-Babbler,M,15,,,57,70,,,7
Pomatorhinus erythrocnemis,Pomatorhinus erythrocnemis,Spot-breasted Scimitar-Babbler,F,6,,,47,61,,,
Pomatorhinus erythrogenys,Pomatorhinus erythrogenys,Rusty-cheeked Scimitar-Babbler,B,4,54.9,,52.5,57,,Thailand,787
Pomatorhinus horsfieldii,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,U,12,43,,33,53,,India,7
Pomatorhinus schisticeps,Pomatorhinus schisticeps,White-browed Scimitar-Babbler,U,12,43,,33,53,,India,7
Pomatorhinus montanus ,Pomatorhinus montanus,Chestnut-backed Scimitar-Babbler,M,2,30.6,,28.2,33.1,,Borneo; Malaysia,"785, 1218"
Pomatorhinus montanus ,Pomatorhinus montanus,Chestnut-backed Scimitar-Babbler,F,1,26.8,,,,,,
Pomatorhinus ruficollis,Pomatorhinus ruficollis,Streak-breasted Scimitar-Babbler,M,8,33.1,,30,39,, ,7
Pomatorhinus ruficollis,Pomatorhinus ruficollis,Streak-breasted Scimitar-Babbler,F,5,30.2,,26,35,,,
Pomatorhinus ochraceiceps,Pomatorhinus ochraceiceps,Red-billed Scimitar-Babbler,F,1,34,,,,,India,7
Pomatorhinus ferruginosus,Pomatorhinus ferruginosus,Coral-billed Scimitar-Babbler,F,1,40,,,,, ,7
Xiphirhynchus superciliaris,Xiphirhynchus superciliaris,Slender-billed Scimitar-Babbler,U,3,28,,27,30,, ,7
Jabouilleia naungmungensis,Jabouilleia naungmungensis,Naung Mung Scimitar-Babbler,F,2,35.5,,35,36,,Myanmar,954a
Rimator malacoptilus,Rimator malacoptilus,Long-billed Wren-Babbler,M,4,,,18,21,, ,7
Ptilocichla mindanensis,Ptilocichla mindanensis,Striated Wren-Babbler,B,16,29.2,,26.3,31,,Philippines,954
Kenopia striata,Kenopia striata,Striped Wren-Babbler,U,8,19.9,,18.7,21.1,,Borneo,"398, 1218"
Napothera macrodactyla,Napothera macrodactyla,Large Wren-Babbler,M,1,48.7,,,,,Malaysia,785
Napothera crispifrons,Napothera crispifrons,Limestone Wren-Babbler,B,2,27,,25.8,28.3,,Thailand,1148
Napothera brevicaudata,Napothera brevicaudata,Streaked Wren-Babbler,U,10,19.5,,14,22,,Malaysia,775
Napothera crassa ,Napothera crassa,Mountain Wren-Babbler,U,4,26.8,,24,29.2,,"Borneo, Malaysia",1148
Napothera rabori,Napothera rabori,Luzon Wren-Babbler,U,2,61,,57,65,,Philippines,436
Napothera epilepidota,Napothera epilepidota,Eyebrowed Wren-Babbler,B,5,16,,14.5,19,,Thailand,787
Pnoepyga albiventer,Pnoepyga albiventer,Scaly-breasted Wren-Babbler,M,10,20.9,,17,24,, ,7
Pnoepyga immaculata,Pnoepyga immaculata,Immaculate Wren-Babbler,M,1,20.5,,,,,Nepal,760
Pnoepyga pusilla,Pnoepyga pusilla,Pygmy Wren-Babbler,U,8,12,,11,14,, ,7
Spelaeornis caudatus,Spelaeornis caudatus,Rufous-throated Wren-Babbler,B,2,11,,10,12,, ,7
Spelaeornis chocolatinus,Spelaeornis chocolatinus,Long-tailed Wren-Babbler,B,6,,,10,14,,India,7
Sphenocichla humei,Sphenocichla humei,Wedge-billed Wren-Babbler,B,6,34.1,,29.2,41,,Myanmar,1148
Neomixis tenella orientalis,Neomixis tenella,Common Jery,U,21,7.3,0.5,6.5,8.5,,Madagascar,957
Neomixis tenella debilis,Neomixis tenella,Common Jery,U,3,6.5,,6.3,6.8,,Madagascar,957
Neomixis viridis,Neomixis viridis,Green Jery,U,1,7,,,,,Madagascar,957
Neomixis striatigula pallidior,Neomixis striatigula,Stripe-throated Jery,U,6,8.3,,6.2,9.5,,Madagascar,957
Hartertula flavoviridis,Hartertula flavoviridis,Wedge-tailed Jery,B,11,9.7,1,8,11.5,,Madagascar,1143
Stachyris ambigua,Stachyris ambigua,Buff-chested Babbler,B,3,9.7,,9,10,, ,7
Stachyris rufifrons,Stachyris rufifrons,Rufous-fronted Babbler,M,1,10.6,, , , ,India,1148
Stachyris ruficeps,Stachyris ruficeps,Rufous-capped Babbler,U,19,10.3,,8,12,, ,7
Stachyris pyrrhops,Stachyris pyrrhops,Black-chinned Babbler,B,9,,,8,11.5,, ,7
Stachyris chrysaea,Stachyris chrysaea,Golden Babbler,U,13,9,,7,10,,Malaysia,775
Stachyris plateni,Stachyris plateni,Pygmy Babbler,B,23,8.7,,7.5,10.2,,Philippines,954
Stachyris dennistouni,Stachyris dennistouni,Golden-crowned Babbler,B,9,15.7,,13.4,17.4,,"Luzon, Philippines",1143
Stachyris nigrocapitata,Stachyris nigrocapitata,Black-crowned Babbler,B,31,14.1,,12.6,16,,Philippines,954
Stachyris capitalis,Stachyris capitalis,Rusty-crowned Babbler,B,7,14.9,,13.4,15.8,,Philippines,"436, 954"
Stachyris speciosa,Stachyris speciosa,Flame-templed Babbler,U,5,,,15,18,,Philippines,344
Stachyris whiteheadi,Stachyris whiteheadi,Chestnut-faced Babbler,M,32,22.8,2,18,26.7,,Philippines,436
Stachyris whiteheadi,Stachyris whiteheadi,Chestnut-faced Babbler,F,35,21,2.1,17,26.2,,,
Stachyris striata,Stachyris striata,Luzon Striped-Babbler,B,3,13.9,,13.4,14.9,,"Luzon, Philippines",1143
Stachyris latistriata,Stachyris latistriata,Panay Striped-Babbler,M,1,29.5,,,,,"Panay, Philippines",1148
Stachyris nigrorum,Stachyris nigrorum,Negros Striped-Babbler,U,31,21.6,2.1,18.5,27,,"Negros, Philippines",1143
Stachyris nigriceps,Stachyris nigriceps,Gray-throated Babbler,U,42,15.8,,13,20,,Malaysia,775
Stachyris poliocephala,Stachyris poliocephala,Gray-headed Babbler,M,4,24.5,,23.3,25.9,,Borneo; Malaysia,"785, 1218"
Stachyris poliocephala,Stachyris poliocephala,Gray-headed Babbler,F,6,22.2,,20.1,25.7,,,
Stachyris oglei,Stachyris oglei,Snowy-throated Babbler,B,2,33,,33,33,,Myanmar,1148
Stachyris leucotis,Stachyris leucotis,White-necked Babbler,B ,6,23.7,,21.5,26.5,,Malaysia,785
Stachyris nigricollis,Stachyris nigricollis,Black-throated Babbler,U,13,26.2,2.2,23,31,,Borneo,398
Stachyris maculata,Stachyris maculata,Chestnut-rumped Babbler,U,24,29.2,2,26,33,,Borneo,398
Stachyris erythroptera,Stachyris erythroptera,Chestnut-winged Babbler,B,8,12.6,,11,15.1,,Borneo; Malaysia,"785, 1218"
Dumetia hyperythra,Dumetia hyperythra,Tawny-bellied Babbler,U,10,12.9,,10,15,,India,7
Rhopocichla atriceps,Rhopocichla atriceps,Dark-fronted Babbler,B,3,16.3,,16,17,,Sri Lanka,7
Macronous gularis,Macronous gularis,Striped Tit-Babbler,B,9,,,10,14,, ,7
Macronous striaticeps,Macronous striaticeps,Brown Tit-Babbler,B,45,16.5,,14.2,20,,Philippines,954
Macronous ptilosus,Macronous ptilosus,Fluffy-backed Tit-Babbler,U,2,18,,17,19,,Malaysia; Borneo,"398, 785"
Micromacronus leytensis,Micromacronus leytensis,Miniature Tit-Babbler,B,2,5.5,,5,6,,"Mindanao, Philippines",1143
Timalia pileata,Timalia pileata,Chestnut-capped Babbler,B,2,16,,15,17,, ,7
Chrysomma sinense hypoleucum,Chrysomma sinense,Yellow-eyed Babbler,B,10,16.1,,12,20,, ,7
Chrysomma sinense sinense,Chrysomma sinense,Yellow-eyed Babbler,U,15,18.3,,15,21,,,7
Turdoides nipalensis,Turdoides nipalensis,Spiny Babbler,M,2,61,,58,64,,India,7
Turdoides altirostris,Turdoides altirostris,Iraq Babbler,B,9,33,,,,,,223
Turdoides caudatus caudatus,Turdoides caudatus,Common Babbler,M,31,35.2,2.6, , ,,India,223
Turdoides caudatus caudatus,Turdoides caudatus,Common Babbler,F,37,32.1,2.3,,,,,
Turdoides caudatus huttoni,Turdoides caudatus,Common Babbler,M,2,47.5,,47,48,,Afghanistan; Iran,223
Turdoides caudatus huttoni,Turdoides caudatus,Common Babbler,F,4,43.8,,41,46,,,
Turdoides earlei,Turdoides earlei,Striated Babbler,U,2,47,,46,48,, ,7
Turdoides gularis,Turdoides gularis,White-throated Babbler,B,2,45.5,,43.1,47.9,,Myanmar,1148
Turdoides longirostris,Turdoides longirostris,Slender-billed Babbler,F,1,35,,,,, ,7
Turdoides malcolmi,Turdoides malcolmi,Large Gray Babbler,B,27,75.7,,63,92,,India,7
Turdoides squamiceps,Turdoides squamiceps,Arabian Babbler,U,,,,64,83,,Israel,223
Turdoides fulvus,Turdoides fulvus,Fulvous Chatterer,B,17,61.4,,46,70,,northern Africa,223
Turdoides aylmeri,Turdoides aylmeri,Scaly Chatterer,U,15,35.3,,31,42,,,396
Turdoides rubiginosus,Turdoides rubiginosus,Rufous Chatterer,B,18,40.6,,33,49,,Kenya; Uganda,396
Turdoides subrufus,Turdoides subrufus,Rufous Babbler,B,,,,57,78,,India,7
Turdoides striatus orientalis,Turdoides striatus,Jungle Babbler,U,10,66,,60,80,, ,7
Turdoides reinwardtii,Turdoides reinwardtii,Blackcap Babbler,U,12,78.8,,69,91,,Ghana,396
Turdoides tenebrosus,Turdoides tenebrosus,Dusky Babbler,M,1,76,,,,,Sudan,1143
Turdoides sharpei,Turdoides sharpei,Black-lored Babbler,U,12,79.3,,66,84,,Kenya,396
Turdoides melanops melanops,Turdoides melanops,Black-faced Babbler,M,2,77,,76,78,,,396
Turdoides squamulatus,Turdoides squamulatus,Scaly Babbler,M,7,72.7,,55,85,, ,396
Turdoides squamulatus,Turdoides squamulatus,Scaly Babbler,F,6,66.2,,60,78,,,
Turdoides leucopygia,Turdoides leucopygia,White-rumped Babbler,U,3,82.4,,75,93,,,396
Turdoides hartlaubii,Turdoides hartlaubii,Hartlaub's Babbler,U,23,86.2,,68,105,,Namibia; Botswana,1036
Turdoides bicolor,Turdoides bicolor,Southern Pied-Babbler,U,36,78.3,,55,90,,southern Africa,1036
Turdoides hypoleucus,Turdoides hypoleucus,Northern Pied-Babbler,U,3,74,,67,80,,Kenya,396
Turdoides hindei,Turdoides hindei,Hinde's Pied-Babbler,U,11,67.6,,58,77,,,396
Turdoides plebejus,Turdoides plebejus,Brown Babbler,U,25,62.5,,52,70,,Kenya,396
Turdoides jardineii,Turdoides jardineii,Arrow-marked Babbler,U,201,78.2,,58.6,115,,southern Africa,1036
Turdoides gymnogenys,Turdoides gymnogenys,Bare-cheeked Babbler,U,28,77,,60,93,,Namibia,1036
Leiothrix argentauris,Leiothrix argentauris,Silver-eared Leiothrix,U,41,28.4,,24,36,,Malaysia,775
Leiothrix lutea,Leiothrix lutea,Red-billed Leiothrix,M,20,21.3,1.1, , ,,Hawaiian Islands,741
Leiothrix lutea,Leiothrix lutea,Red-billed Leiothrix,F,40,21.5,1.6,,,,,
Cutia nipalensis,Cutia nipalensis,Cutia,M,9,,,48,56,, ,7
Cutia nipalensis,Cutia nipalensis,Cutia,F,3,,,40,46,,,
Pteruthius rufiventer,Pteruthius rufiventer,Black-headed Shrike-Babbler,M,7,,,44,48,, ,7
Pteruthius rufiventer,Pteruthius rufiventer,Black-headed Shrike-Babbler,F,2,43,,42,44,,,
Pteruthius flaviscapis,Pteruthius flaviscapis,White-browed Shrike-Babbler,B,9,,,34,44,, ,7
Pteruthius xanthochlorus,Pteruthius xanthochlorus,Green Shrike-Babbler,B,3,14.3,,14,15,, ,7
Pteruthius melanotis,Pteruthius melanotis,Black-eared Shrike-Babbler,U,7,13.3,,12,15,,Malaysia,775
Gampsorhynchus rufulus,Gampsorhynchus rufulus,White-hooded Babbler,M,1,37,,,,, ,7
Actinodura egertoni,Actinodura egertoni,Rusty-fronted Barwing,B,8,36,,33,38,,India,7
Actinodura ramsayi,Actinodura ramsayi,Spectacled Barwing,B,6,38.4,,35.1,41.3,,Thailand,787
Actinodura nipalensis,Actinodura nipalensis,Hoary-throated Barwing,M,5,,,44,48,, ,7
Actinodura nipalensis,Actinodura nipalensis,Hoary-throated Barwing,F,5,,,39,45,,,
Actinodura waldeni,Actinodura waldeni,Streak-throated Barwing,B,18,,,39,56,,India,7
Actinodura morrisoniana,Actinodura morrisoniana,Taiwan Barwing,U,,,,23,25,,Taiwan,834
Minla cyanouroptera,Minla cyanouroptera,Blue-winged Minla,U,13,17,,15.4,19,,Malaysia; Thailand,"775, 787"
Minla strigula,Minla strigula,Chestnut-tailed Minla,U,111,19.2,,16,22,,Malaysia,775
Minla ignotincta,Minla ignotincta,Red-tailed Minla,B,6,14.3,,11,18,, ,7
Alcippe chrysotis,Alcippe chrysotis,Golden-breasted Fulvetta,M,1,5.5,,,,, ,7
Alcippe cinerea,Alcippe cinerea,Yellow-throated Fulvetta,F,2,11,,11,11,, ,7
Alcippe castaneceps,Alcippe castaneceps,Rufous-winged Fulvetta,U,41,12.5,,11,20,,Malaysia,775
Alcippe vinipectus,Alcippe vinipectus,White-browed Fulvetta,B,11,,,11,13,, ,7
Alcippe cinereiceps,Alcippe cinereiceps,Streak-throated Fulvetta,M,2,10,,10,10,, ,7
Alcippe brunnea,Alcippe brunnea,Dusky Fulvetta,U,,,,16,19,, ,7
Alcippe brunneicauda,Alcippe brunneicauda,Brown Fulvetta,B,10,14.3,,13.3,15.3,,Malaysia,785
Alcippe poioicephala,Alcippe poioicephala,Brown-cheeked Fulvetta,U,14,20.7,,18,23,,India,7
Alcippe morrisonia,Alcippe morrisonia,Gray-cheeked Fulvetta,B,30,14.8,0.7,12.8,16.5,,Thailand,787
Alcippe morrisonia,Alcippe morrisonia,Gray-cheeked Fulvetta,M,165,15.4,0.9,,,,Taiwan,661
Alcippe morrisonia,Alcippe morrisonia,Gray-cheeked Fulvetta,F,157,15.6,0.8,,,,,
Alcippe peracensis,Alcippe peracensis,Mountain Fulvetta,M,7,14.3,,13.1,16.4,,Malaysia,785
Alcippe peracensis,Alcippe peracensis,Mountain Fulvetta,F,7,,,15.5,15.8,,,
Alcippe nipalensis,Alcippe nipalensis,Nepal Fulvetta,U,90,15.8,,13,20,,Malaysia,775
Lioptilus nigricapillus,Lioptilus nigricapillus,Bush Blackcap,M,4,28.9,,27,31,,South Africa,1036
Lioptilus nigricapillus,Lioptilus nigricapillus,Bush Blackcap,F,7,30.4,,23.9,35.8,,,
